[2018-05-10 23:59:02]银币成长结束:共计799人,用时: 0.8342s
[2018-05-11 23:59:02]银币成长结束:共计800人,用时: 0.7700s
[2018-05-12 23:59:02]银币成长结束:共计799人,用时: 0.7637s
[2018-05-13 23:59:02]银币成长结束:共计798人,用时: 0.8340s
[2018-05-14 23:59:02]银币成长结束:共计797人,用时: 0.8512s
[2018-05-15 23:59:02]银币成长结束:共计798人,用时: 0.7739s
[2018-05-16 23:59:02]银币成长结束:共计798人,用时: 0.8365s
[2018-05-17 23:59:01]银币成长结束:共计0人,用时: 0.0121s
[2018-05-18 23:59:01]银币成长结束:共计30人,用时: 0.0674s
[2018-05-19 23:59:01]银币成长结束:共计28人,用时: 0.0581s
[2018-05-20 23:59:01]银币成长结束:共计31人,用时: 0.1823s
